fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2017.0,8.0,6.92
Diesel,2017.0,8.0,6.95
Petrol,2023.0,2.0,4.0
Petrol,2012.0,13.0,2.67
Petrol,2023.0,2.0,1.47
Petrol,2019.0,6.0,13.25
Petrol,2021.0,4.0,13.37
Petrol,2012.0,13.0,2.7
Petrol,2015.0,10.0,3.26
Diesel,2014.0,11.0,17.75
Petrol,2017.0,8.0,3.95
Petrol,2017.0,8.0,9.31
Petrol,2018.0,7.0,6.0
Petrol,2017.0,8.0,45.75
Petrol,2014.0,11.0,4.92
Petrol,2023.0,2.0,7.5
Diesel,2019.0,6.0,45.0
Diesel,2019.0,6.0,46.21
Diesel,2018.0,7.0,6.53
Petrol,2011.0,14.0,2.55
Diesel,2015.0,10.0,11.9
Diesel,2020.0,5.0,37.5
Diesel,2018.0,7.0,7.34
Petrol,2018.0,7.0,3.45
Diesel,2021.0,4.0,2.05
Petrol,2020.0,5.0,6.42
Diesel,2012.0,13.0,6.5
Petrol,2014.0,11.0,3.86
Petrol,2014.0,11.0,47.5
Petrol,2013.0,12.0,3.75
Petrol,2020.0,5.0,8.52
Diesel,2018.0,7.0,19.45
Petrol,2019.0,6.0,49.75
Petrol,2019.0,6.0,4.71
Petrol,2014.0,11.0,4.9
Petrol,2016.0,9.0,7.95
Petrol,2023.0,2.0,1.78
Petrol,2015.0,10.0,3.18
Diesel,2018.0,7.0,17.49
Petrol,2017.0,8.0,4.12
Petrol,2022.0,3.0,19.9
Petrol,2018.0,7.0,7.6
Petrol,2017.0,8.0,4.5
Petrol,2019.0,6.0,5.5
Petrol,2020.0,5.0,69.75
Diesel,2018.0,7.0,8.99
Petrol,2017.0,8.0,7.86
Diesel,2021.0,4.0,20.0
Diesel,2020.0,5.0,39.9
Petrol,2014.0,11.0,4.66
Petrol,2019.0,6.0,14.9
Diesel,2019.0,6.0,27.5
Diesel,2021.0,4.0,6.2
Petrol,2020.0,5.0,6.25
Diesel,2021.0,4.0,20.0
Petrol,2018.0,7.0,6.33
Petrol,2017.0,8.0,21.0
Diesel,2019.0,6.0,7.99
Diesel,2016.0,9.0,19.0
Petrol,2014.0,11.0,3.7
Petrol,2014.0,11.0,3.55
Diesel,2018.0,7.0,12.0
Petrol,2023.0,2.0,1.12
Petrol,2019.0,6.0,8.74
Petrol,2020.0,5.0,16.0
Petrol,2015.0,10.0,5.81
Petrol,2022.0,3.0,66.0
Diesel,2019.0,6.0,71.99
Diesel,2019.0,6.0,5.52
Petrol,2017.0,8.0,5.1
Petrol,2021.0,4.0,80.0
Petrol,2016.0,9.0,5.21
Diesel,2015.0,10.0,12.65
Petrol,2022.0,3.0,5.95
Diesel,2021.0,4.0,20.0
Petrol,2018.0,7.0,6.33
Petrol,2017.0,8.0,21.0
Diesel,2019.0,6.0,7.99
Diesel,2016.0,9.0,19.0
Petrol,2014.0,11.0,3.7
Petrol,2014.0,11.0,3.55
Diesel,2018.0,7.0,12.0
Petrol,2023.0,2.0,1.12
Petrol,2019.0,6.0,8.74
Petrol,2020.0,5.0,16.0
Petrol,2015.0,10.0,5.81
Petrol,2022.0,3.0,66.0
Diesel,2019.0,6.0,71.99
Diesel,2019.0,6.0,5.52
Petrol,2017.0,8.0,5.1
Petrol,2021.0,4.0,80.0
Petrol,2016.0,9.0,5.21
Diesel,2015.0,10.0,12.65
Petrol,2022.0,3.0,5.95
Diesel,2018.0,7.0,39.9
Petrol,2019.0,6.0,7.41
Petrol,2019.0,6.0,21.5
Petrol,2018.0,7.0,6.81
Diesel,2019.0,6.0,29.0
Diesel,2019.0,6.0,17.5
Diesel,2018.0,7.0,6.49
Petrol,2019.0,6.0,15.0
Diesel,2016.0,9.0,17.6
Petrol,2016.0,9.0,3.77
CNG,2022.0,3.0,12.75
Petrol,2015.0,10.0,6.61
Petrol,2020.0,5.0,68.0
CNG,2018.0,7.0,4.0
Petrol,2015.0,10.0,3.11
Petrol,2020.0,5.0,5.75
Diesel,2015.0,10.0,16.9
Petrol,2016.0,9.0,8.16
Petrol,2015.0,10.0,5.25
Petrol,2020.0,5.0,82.0
Petrol,2017.0,8.0,6.75
Petrol,2018.0,7.0,5.85
Petrol,2016.0,9.0,4.49
Diesel,2018.0,7.0,42.5
Diesel,2017.0,8.0,6.0
Petrol,2016.0,9.0,6.93
Diesel,2015.0,10.0,26.5
Petrol,2018.0,7.0,6.07
Petrol,2012.0,13.0,2.95
Petrol,2016.0,9.0,5.59
Petrol,2022.0,3.0,81.9
Petrol,2014.0,11.0,3.75
Diesel,2019.0,6.0,7.89
Diesel,2017.0,8.0,5.0
Petrol,2018.0,7.0,8.65
Diesel,2018.0,7.0,5.64
Petrol,2019.0,6.0,6.25
Diesel,2019.0,6.0,39.0
Diesel,2023.0,2.0,1.32
Petrol,2016.0,9.0,5.14
Petrol,2022.0,3.0,10.25
Petrol,2015.0,10.0,3.74
Diesel,2022.0,3.0,54.0
Diesel,2021.0,4.0,17.5
Petrol,2019.0,6.0,5.99
Diesel,2019.0,6.0,15.5
Petrol,2020.0,5.0,83.0
Petrol,2017.0,8.0,4.54
Petrol,2018.0,7.0,50.0
Petrol,2012.0,13.0,2.95
Diesel,2021.0,4.0,64.0
Petrol,2015.0,10.0,3.79
Petrol,2019.0,6.0,7.5
Petrol,2023.0,2.0,13.9
Diesel,2019.0,6.0,8.7
Petrol,2018.0,7.0,8.85
Diesel,2017.0,8.0,19.9
Diesel,2023.0,2.0,1.32
